Marketing Channel ROI Analysis
===============================


Channel: TV
Month	Investment	Attributed Revenue	MMM ROI
2023-05	$13,700,000.00	$-57.17	-0.0000
2023-06	$16,627,168.83	$-210.90	-0.0000
2023-07	$2,153,302.04	$-2,023,109.12	-0.9395
2023-08	$64,380.73	$-425.87	-0.0066
2023-09	$38,795,036.17	$-19,021,915.41	-0.4903
2023-10	$61,447,110.95	$-18,446,630.74	-0.3002
2023-11	$42,206,297.40	$-31,012,972.02	-0.7348
2023-12	$53,975,022.24	$-24,035,953.88	-0.4453
2024-01	$43,800,000.00	$-29,666,803.63	-0.6773
2024-02	$25,860,076.17	$-18,841,295.70	-0.7286
2024-03	$93,000,000.00	$-50,620,026.24	-0.5443
2024-04	$52,051,962.55	$-37,431,655.40	-0.7191
2024-05	$13,700,000.00	$-7,433,099.99	-0.5426
2024-06	$16,627,168.83	$-12,950,112.10	-0.7789
2024-07	$2,153,302.04	$-19,933.75	-0.0093


Channel: Digital
Month	Investment	Attributed Revenue	MMM ROI
2023-05	$7,700,000.00	$29.47	0.0000
2023-06	$14,207,605.07	$165.27	0.0000
2023-07	$25,330,137.08	$21,825,169.93	0.8616
2023-08	$12,780,736.84	$77,531.73	0.0061
2023-09	$13,565,275.98	$6,099,755.89	0.4497
2023-10	$126,224,797.66	$34,750,895.90	0.2753
2023-11	$12,754,689.92	$8,594,918.72	0.6739
2023-12	$30,633,600.27	$12,510,432.08	0.4084
2024-01	$4,560,000.00	$2,832,482.44	0.6212
2024-02	$19,126,510.18	$12,779,752.36	0.6682
2024-03	$21,000,000.00	$10,482,489.80	0.4992
2024-04	$8,718,921.70	$5,750,034.35	0.6595
2024-05	$7,700,000.00	$3,831,297.44	0.4976
2024-06	$14,207,605.07	$10,148,032.14	0.7143
2024-07	$25,330,137.08	$215,043.96	0.0085


Channel: Sponsorship
Month	Investment	Attributed Revenue	MMM ROI
2023-05	$316,800,000.00	$1,187.18	0.0000
2023-06	$250,485,407.73	$2,853.37	0.0000
2023-07	$74,142,697.34	$62,560,153.24	0.8438
2023-08	$10,633,317.58	$63,168.66	0.0059
2023-09	$627,876,513.14	$276,482,334.44	0.4403
2023-10	$846,725,315.26	$228,282,802.31	0.2696
2023-11	$141,721,159.18	$93,522,453.86	0.6599
2023-12	$567,054,186.70	$226,781,779.20	0.3999
2024-01	$42,000,000.00	$25,548,240.85	0.6083
2024-02	$117,255,553.07	$76,723,684.40	0.6543
2024-03	$415,900,000.00	$203,302,819.95	0.4888
2024-04	$243,083,537.01	$156,990,198.02	0.6458
2024-05	$316,800,000.00	$154,365,287.36	0.4873
2024-06	$250,485,407.73	$175,207,509.73	0.6995
2024-07	$74,142,697.34	$616,406.81	0.0083


Channel: Content Marketing
Month	Investment	Attributed Revenue	MMM ROI
2023-05	$7,900,000.00	$33.24	0.0000
2023-06	$450,806.25	$5.77	0.0000
2023-07	$9,328.98	$8,836.96	0.9473
2023-08	$63.25	$0.42	0.0067
2023-09	$6,102,920.82	$3,016,965.66	0.4943
2023-10	$34,440,747.57	$10,424,199.19	0.3027
2023-11	$1,686,331.89	$1,249,291.35	0.7408
2023-12	$10,673,068.66	$4,791,951.14	0.4490
2024-01	$9,000,000.00	$6,146,016.22	0.6829
2024-02	$5,967,709.89	$4,383,724.11	0.7346
2024-03	$3,700,000.00	$2,030,465.84	0.5488
2024-04	$348,756.87	$252,859.48	0.7250
2024-05	$7,900,000.00	$4,321,465.45	0.5470
2024-06	$450,806.25	$353,997.09	0.7853
2024-07	$9,328.98	$87.07	0.0093


Channel: Online marketing
Month	Investment	Attributed Revenue	MMM ROI
2023-05	$236,500,000.00	$1,094.30	0.0000
2023-06	$79,712,998.66	$1,121.18	0.0000
2023-07	$13,272,775.95	$13,828,111.17	1.0418
2023-08	$1,292,442.64	$9,480.16	0.0073
2023-09	$163,799,899.93	$89,059,132.21	0.5437
2023-10	$243,717,777.37	$81,131,505.80	0.3329
2023-11	$195,615,743.50	$159,388,388.30	0.8148
2023-12	$225,037,555.61	$111,124,616.64	0.4938
2024-01	$229,000,000.00	$171,996,207.45	0.7511
2024-02	$198,923,662.86	$160,714,164.61	0.8079
2024-03	$184,378,182.80	$111,284,759.00	0.6036
2024-04	$165,145,095.93	$131,690,470.38	0.7974
2024-05	$236,500,000.00	$142,287,678.90	0.6016
2024-06	$79,712,998.66	$68,844,794.84	0.8637
2024-07	$13,272,775.95	$136,248.74	0.0103


Channel: Affiliates
Month	Investment	Attributed Revenue	MMM ROI
2023-05	$68,000,000.00	$236.36	0.0000
2023-06	$27,680,230.61	$292.47	0.0000
2023-07	$5,472,538.59	$4,283,106.19	0.7827
2023-08	$736,839.80	$4,060.19	0.0055
2023-09	$50,382,662.16	$20,578,553.72	0.4084
2023-10	$69,737,111.08	$17,439,546.64	0.2501
2023-11	$65,957,665.56	$40,372,631.84	0.6121
2023-12	$68,269,379.37	$25,325,039.96	0.3710
2024-01	$73,700,000.00	$41,583,379.99	0.5642
2024-02	$64,650,190.43	$39,237,960.60	0.6069
2024-03	$62,176,666.67	$28,191,780.50	0.4534
2024-04	$56,934,558.70	$34,106,215.88	0.5990
